Rank,City,State,Area in km²,first time as a large city,1950,1960,1970,1980,1990,2000,2010,2020,2021
60,Würzburg,Bayern,87.63,1932,78443,115541,116395,128652,127777,127966,133799,126954,126933
61,Ulm,Baden-Württemberg,118.69,1980,71132,90383,93158,100671,110529,117233,122801,126405,126949
62,Heilbronn,Baden-Württemberg,99.88,1970,64643,87203,102300,111938,115843,119305,122879,126458,125613
63,Pforzheim,Baden-Württemberg,98.0,1975,54143,81373,91104,106500,112944,117156,119781,126016,125529
64,Wolfsburg,Niedersachsen,204.09,1972,25422,62577,90115,125935,128510,121805,121451,123840,123949
65,Bottrop,Nordrhein-Westfalen,100.61,1953,93268,111246,106225,114571,118936,120611,116771,117388,117311
66,Göttingen,Niedersachsen,116.89,1964,78680,77785,109892,129656,121831,124132,121060,116845,116557
67,Reutlingen,Baden-Württemberg,87.06,1988,45735,66659,79705,95456,103687,110650,112484,116031,116456
68,Koblenz,Rheinland-Pfalz,105.13,1962,66444,97867,120079,113676,108733,107950,106417,113388,113638
69,Erlangen,Bayern,76.95,1974,50011,68569,85061,101845,102440,100778,105629,112385,113292
70,Bremer­haven ,Bremen,93.82,1939,114070,141017,142919,138728,130446,120822,113366,113557,113173
71,Remscheid,Nordrhein-Westfalen,74.52,1929,103276,125912,136822,129082,123155,119287,110563,111516,111770
72,Bergisch Gladbach,Nordrhein-Westfalen,83.09,1977,32681,41409,50228,101472,104037,105693,105723,111636,111645
73,Recklinghausen,Nordrhein-Westfalen,66.5,1949,104791,130405,125369,119418,125060,124785,118365,110705,110714
74,Trier,Rheinland-Pfalz,117.13,1969,75526,85210,103598,95536,97835,99410,105260,110674,110570
75,Jena,Thüringen,114.76,1975,80309,81190,88130,103718,102518,99893,105129,110731,110502
76,Moers,Nordrhein-Westfalen,67.68,1975,34832,45908,53410,99923,104595,107062,105506,103487,103725
77,Salzgitter ,Niedersachsen,223.92,1942,100667,108872,119031,113600,114355,112302,102394,103866,103694
78,Siegen,Nordrhein-Westfalen,114.69,1975,38787,48210,57563,112320,109174,108476,103424,101943,101516
79,Gütersloh,Nordrhein-Westfalen,112.02,2018,43111,52346,75297,78221,86807,95156,96404,100664,101158
80,Hildesheim,Niedersachsen,92.18,1974,72292,94352,93373,102619,105291,103909,102794,101055,100319
